NAICS_CODE,NAICS_DESCRIPTION,NAICS_SUBSECTOR_CODE,NAICS_SUBSECTOR_DESCRIPTION,NAICS_GROUP_CODE,NAICS_GROUP_DESCRIPTION
212113,Anthracite Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212210,Iron Ore Mining,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212221,Gold Ore Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212222,Silver Ore Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212230,"Copper, Nickel, Lead, and Zinc Mining ",212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212291,Uranium-Radium-Vanadium Ore Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212299,All Other Metal Ore Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212311,Dimension Stone Mining and Quarrying ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212312,Crushed and Broken Limestone Mining and Quarrying ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212313,Crushed and Broken Granite Mining and Quarrying ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212319,Other Crushed and Broken Stone Mining and Quarrying ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212321,Construction Sand and Gravel Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212322,Industrial Sand Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212324,Kaolin and Ball Clay Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212325,Clay and Ceramic and Refractory Minerals Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212391,"Potash, Soda, and Borate Mineral Mining ",212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212392,Phosphate Rock Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212393,Other Chemical and Fertilizer Mineral Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
212399,All Other Nonmetallic Mineral Mining ,212,Mining (except Oil and Gas),21,"Mining, Quarrying, and Oil and Gas Extraction"
213111,Drilling Oil and Gas Wells,213,Support Activities for Mining,21,"Mining, Quarrying, and Oil and Gas Extraction"
213112,Support Activities for Oil and Gas Operations ,213,Support Activities for Mining,21,"Mining, Quarrying, and Oil and Gas Extraction"
213113,Support Activities for Coal Mining ,213,Support Activities for Mining,21,"Mining, Quarrying, and Oil and Gas Extraction"
213114,Support Activities for Metal Mining ,213,Support Activities for Mining,21,"Mining, Quarrying, and Oil and Gas Extraction"
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,213,Support Activities for Mining,21,"Mining, Quarrying, and Oil and Gas Extraction"
221111,Hydroelectric Power Generation ,221,Utilities,22,Utilities
221112,Fossil Fuel Electric Power Generation ,221,Utilities,22,Utilities
221113,Nuclear Electric Power Generation ,221,Utilities,22,Utilities
221114,Solar Electric Power Generation ,221,Utilities,22,Utilities
221115,Wind Electric Power Generation ,221,Utilities,22,Utilities
221116,Geothermal Electric Power Generation ,221,Utilities,22,Utilities
221117,Biomass Electric Power Generation ,221,Utilities,22,Utilities
221118,Other Electric Power Generation ,221,Utilities,22,Utilities
221121,Electric Bulk Power Transmission and Control ,221,Utilities,22,Utilities
221122,Electric Power Distribution ,221,Utilities,22,Utilities
221210,Natural Gas Distribution ,221,Utilities,22,Utilities
221310,Water Supply and Irrigation Systems ,221,Utilities,22,Utilities
221320,Sewage Treatment Facilities ,221,Utilities,22,Utilities
221330,Steam and Air-Conditioning Supply ,221,Utilities,22,Utilities
236115,New Single-Family Housing Construction (except For-Sale Builders) ,236,Construction of Buildings,23,Construction
236116,New Multifamily Housing Construction (except For-Sale Builders) ,236,Construction of Buildings,23,Construction
236117,New Housing For-Sale Builders ,236,Construction of Buildings,23,Construction
236118,Residential Remodelers ,236,Construction of Buildings,23,Construction
236210,Industrial Building Construction ,236,Construction of Buildings,23,Construction
236220,Commercial and Institutional Building Construction ,236,Construction of Buildings,23,Construction
237110,Water and Sewer Line and Related Structures Construction ,237,Heavy and Civil Engineering Construction,23,Construction
237120,Oil and Gas Pipeline and Related Structures Construction ,237,Heavy and Civil Engineering Construction,23,Construction
237130,Power and Communication Line and Related Structures Construction ,237,Heavy and Civil Engineering Construction,23,Construction
237210,Land Subdivision ,237,Heavy and Civil Engineering Construction,23,Construction
237310,"Highway, Street, and Bridge Construction ",237,Heavy and Civil Engineering Construction,23,Construction
237990,Other Heavy and Civil Engineering Construction ,237,Heavy and Civil Engineering Construction,23,Construction
238110,Poured Concrete Foundation and Structure Contractors ,238,Specialty Trade Contractors,23,Construction
238120,Structural Steel and Precast Concrete Contractors ,238,Specialty Trade Contractors,23,Construction
238130,Framing Contractors ,238,Specialty Trade Contractors,23,Construction
238140,Masonry Contractors ,238,Specialty Trade Contractors,23,Construction
238150,Glass and Glazing Contractors ,238,Specialty Trade Contractors,23,Construction
238160,Roofing Contractors ,238,Specialty Trade Contractors,23,Construction
238170,Siding Contractors ,238,Specialty Trade Contractors,23,Construction
238190,"Other Foundation, Structure, and Building Exterior Contractors ",238,Specialty Trade Contractors,23,Construction
238210,Electrical Contractors and Other Wiring Installation Contractors,238,Specialty Trade Contractors,23,Construction
238220,"Plumbing, Heating, and Air-Conditioning Contractors ",238,Specialty Trade Contractors,23,Construction
238290,Other Building Equipment Contractors ,238,Specialty Trade Contractors,23,Construction
238310,Drywall and Insulation Contractors ,238,Specialty Trade Contractors,23,Construction
238320,Painting and Wall Covering Contractors,238,Specialty Trade Contractors,23,Construction
238330,Flooring Contractors,238,Specialty Trade Contractors,23,Construction
238340,Tile and Terrazzo Contractors,238,Specialty Trade Contractors,23,Construction
238350,Finish Carpentry Contractors,238,Specialty Trade Contractors,23,Construction
238390,Other Building Finishing Contractors,238,Specialty Trade Contractors,23,Construction
238910,Site Preparation Contractors,238,Specialty Trade Contractors,23,Construction
238990,All Other Specialty Trade Contractors,238,Specialty Trade Contractors,23,Construction
311111,Dog and Cat Food Manufacturing ,311,Food Manufacturing,31,Manufacturing
311119,Other Animal Food Manufacturing ,311,Food Manufacturing,31,Manufacturing
311211,Flour Milling ,311,Food Manufacturing,31,Manufacturing
311212,Rice Milling ,311,Food Manufacturing,31,Manufacturing
311213,Malt Manufacturing ,311,Food Manufacturing,31,Manufacturing
311221,Wet Corn Milling ,311,Food Manufacturing,31,Manufacturing
311224,Soybean and Other Oilseed Processing ,311,Food Manufacturing,31,Manufacturing
311225,Fats and Oils Refining and Blending ,311,Food Manufacturing,31,Manufacturing
311230,Breakfast Cereal Manufacturing,311,Food Manufacturing,31,Manufacturing
311313,Beet Sugar Manufacturing ,311,Food Manufacturing,31,Manufacturing
311314,Cane Sugar Manufacturing ,311,Food Manufacturing,31,Manufacturing
311340,Nonchocolate Confectionery Manufacturing,311,Food Manufacturing,31,Manufacturing
311351,Chocolate and Confectionery Manufacturing from Cacao Beans ,311,Food Manufacturing,31,Manufacturing
311352,Confectionery Manufacturing from Purchased Chocolate ,311,Food Manufacturing,31,Manufacturing
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing ",311,Food Manufacturing,31,Manufacturing
311412,Frozen Specialty Food Manufacturing ,311,Food Manufacturing,31,Manufacturing
311421,Fruit and Vegetable Canning ,311,Food Manufacturing,31,Manufacturing
311422,Specialty Canning ,311,Food Manufacturing,31,Manufacturing
311423,Dried and Dehydrated Food Manufacturing ,311,Food Manufacturing,31,Manufacturing
311511,Fluid Milk Manufacturing ,311,Food Manufacturing,31,Manufacturing
311512,Creamery Butter Manufacturing ,311,Food Manufacturing,31,Manufacturing
311513,Cheese Manufacturing ,311,Food Manufacturing,31,Manufacturing
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",311,Food Manufacturing,31,Manufacturing
311520,Ice Cream and Frozen Dessert Manufacturing,311,Food Manufacturing,31,Manufacturing
311611,Animal (except Poultry) Slaughtering ,311,Food Manufacturing,31,Manufacturing
311612,Meat Processed from Carcasses ,311,Food Manufacturing,31,Manufacturing
311613,Rendering and Meat Byproduct Processing ,311,Food Manufacturing,31,Manufacturing
311615,Poultry Processing ,311,Food Manufacturing,31,Manufacturing
311710,Seafood Product Preparation and Packaging,311,Food Manufacturing,31,Manufacturing
311811,Retail Bakeries ,311,Food Manufacturing,31,Manufacturing
311812,Commercial Bakeries ,311,Food Manufacturing,31,Manufacturing
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing ",311,Food Manufacturing,31,Manufacturing
311821,Cookie and Cracker Manufacturing ,311,Food Manufacturing,31,Manufacturing
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ",311,Food Manufacturing,31,Manufacturing
311830,Tortilla Manufacturing,311,Food Manufacturing,31,Manufacturing
311911,Roasted Nuts and Peanut Butter Manufacturing ,311,Food Manufacturing,31,Manufacturing
311919,Other Snack Food Manufacturing ,311,Food Manufacturing,31,Manufacturing
311920,Coffee and Tea Manufacturing ,311,Food Manufacturing,31,Manufacturing
311930,Flavoring Syrup and Concentrate Manufacturing,311,Food Manufacturing,31,Manufacturing
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing ",311,Food Manufacturing,31,Manufacturing
311942,Spice and Extract Manufacturing ,311,Food Manufacturing,31,Manufacturing
311991,Perishable Prepared Food Manufacturing ,311,Food Manufacturing,31,Manufacturing
311999,All Other Miscellaneous Food Manufacturing ,311,Food Manufacturing,31,Manufacturing
312111,Soft Drink Manufacturing ,312,Beverage and Tobacco Product Manufacturing,31,Manufacturing
312112,Bottled Water Manufacturing ,312,Beverage and Tobacco Product Manufacturing,31,Manufacturing
312113,Ice Manufacturing ,312,Beverage and Tobacco Product Manufacturing,31,Manufacturing
312120,Breweries,312,Beverage and Tobacco Product Manufacturing,31,Manufacturing
312130,Wineries ,312,Beverage and Tobacco Product Manufacturing,31,Manufacturing
312140,Distilleries ,312,Beverage and Tobacco Product Manufacturing,31,Manufacturing
312230,Tobacco Manufacturing ,312,Beverage and Tobacco Product Manufacturing,31,Manufacturing
313110,"Fiber, Yarn, and Thread Mills ",313,Textile Mills,31,Manufacturing
313210,Broadwoven Fabric Mills,313,Textile Mills,31,Manufacturing
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,313,Textile Mills,31,Manufacturing
313230,Nonwoven Fabric Mills,313,Textile Mills,31,Manufacturing
313240,Knit Fabric Mills,313,Textile Mills,31,Manufacturing
313310,Textile and Fabric Finishing Mills ,313,Textile Mills,31,Manufacturing
313320,Fabric Coating Mills,313,Textile Mills,31,Manufacturing
314110,Carpet and Rug Mills,314,Textile Product Mills,31,Manufacturing
314120,Curtain and Linen Mills,314,Textile Product Mills,31,Manufacturing
314910,Textile Bag and Canvas Mills ,314,Textile Product Mills,31,Manufacturing
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills ",314,Textile Product Mills,31,Manufacturing
314999,All Other Miscellaneous Textile Product Mills ,314,Textile Product Mills,31,Manufacturing
315110,Hosiery and Sock Mills,315,Apparel Manufacturing,31,Manufacturing
315190,Other Apparel Knitting Mills ,315,Apparel Manufacturing,31,Manufacturing
315210,Cut and Sew Apparel Contractors ,315,Apparel Manufacturing,31,Manufacturing
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing ,315,Apparel Manufacturing,31,Manufacturing
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing ",315,Apparel Manufacturing,31,Manufacturing
315280,Other Cut and Sew Apparel Manufacturing ,315,Apparel Manufacturing,31,Manufacturing
315990,Apparel Accessories and Other Apparel Manufacturing ,315,Apparel Manufacturing,31,Manufacturing
316110,Leather and Hide Tanning and Finishing,316,Leather and Allied Product Manufacturing,31,Manufacturing
316210,Footwear Manufacturing ,316,Leather and Allied Product Manufacturing,31,Manufacturing
316992,Women's Handbag and Purse Manufacturing ,316,Leather and Allied Product Manufacturing,31,Manufacturing
316998,All Other Leather Good and Allied Product Manufacturing ,316,Leather and Allied Product Manufacturing,31,Manufacturing
321113,Sawmills ,321,Wood Product Manufacturing,32,Manufacturing
321114,Wood Preservation ,321,Wood Product Manufacturing,32,Manufacturing
321211,Hardwood Veneer and Plywood Manufacturing ,321,Wood Product Manufacturing,32,Manufacturing
321212,Softwood Veneer and Plywood Manufacturing ,321,Wood Product Manufacturing,32,Manufacturing
321213,Engineered Wood Member (except Truss) Manufacturing ,321,Wood Product Manufacturing,32,Manufacturing
321214,Truss Manufacturing ,321,Wood Product Manufacturing,32,Manufacturing
321219,Reconstituted Wood Product Manufacturing ,321,Wood Product Manufacturing,32,Manufacturing
321911,Wood Window and Door Manufacturing ,321,Wood Product Manufacturing,32,Manufacturing
321912,"Cut Stock, Resawing Lumber, and Planing ",321,Wood Product Manufacturing,32,Manufacturing
321918,Other Millwork (including Flooring) ,321,Wood Product Manufacturing,32,Manufacturing
321920,Wood Container and Pallet Manufacturing,321,Wood Product Manufacturing,32,Manufacturing
321991,Manufactured Home (Mobile Home) Manufacturing ,321,Wood Product Manufacturing,32,Manufacturing
321992,Prefabricated Wood Building Manufacturing ,321,Wood Product Manufacturing,32,Manufacturing
321999,All Other Miscellaneous Wood Product Manufacturing ,321,Wood Product Manufacturing,32,Manufacturing
322110,Pulp Mills ,322,Paper Manufacturing,32,Manufacturing
322121,Paper (except Newsprint) Mills ,322,Paper Manufacturing,32,Manufacturing
322122,Newsprint Mills ,322,Paper Manufacturing,32,Manufacturing
322130,Paperboard Mills ,322,Paper Manufacturing,32,Manufacturing
322211,Corrugated and Solid Fiber Box Manufacturing ,322,Paper Manufacturing,32,Manufacturing
322212,Folding Paperboard Box Manufacturing ,322,Paper Manufacturing,32,Manufacturing
322219,Other Paperboard Container Manufacturing ,322,Paper Manufacturing,32,Manufacturing
322220,Paper Bag and Coated and Treated Paper Manufacturing,322,Paper Manufacturing,32,Manufacturing
322230,Stationery Product Manufacturing,322,Paper Manufacturing,32,Manufacturing
322291,Sanitary Paper Product Manufacturing ,322,Paper Manufacturing,32,Manufacturing
322299,All Other Converted Paper Product Manufacturing ,322,Paper Manufacturing,32,Manufacturing
323111,Commercial Printing (except Screen and Books) ,323,Printing and Related Support Activities,32,Manufacturing
323113,Commercial Screen Printing ,323,Printing and Related Support Activities,32,Manufacturing
323117,Books Printing ,323,Printing and Related Support Activities,32,Manufacturing
323120,Support Activities for Printing,323,Printing and Related Support Activities,32,Manufacturing
324110,Petroleum Refineries,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
324121,Asphalt Paving Mixture and Block Manufacturing ,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
324122,Asphalt Shingle and Coating Materials Manufacturing ,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
324191,Petroleum Lubricating Oil and Grease Manufacturing ,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
324199,All Other Petroleum and Coal Products Manufacturing ,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
325110,Petrochemical Manufacturing,325,Chemical Manufacturing,32,Manufacturing
325120,Industrial Gas Manufacturing,325,Chemical Manufacturing,32,Manufacturing
325130,Synthetic Dye and Pigment Manufacturing,325,Chemical Manufacturing,32,Manufacturing
325180,Other Basic Inorganic Chemical Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325193,Ethyl Alcohol Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",325,Chemical Manufacturing,32,Manufacturing
325199,All Other Basic Organic Chemical Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325211,Plastics Material and Resin Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325212,Synthetic Rubber Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,325,Chemical Manufacturing,32,Manufacturing
325311,Nitrogenous Fertilizer Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325312,Phosphatic Fertilizer Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325314,Fertilizer (Mixing Only) Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325320,Pesticide and Other Agricultural Chemical Manufacturing,325,Chemical Manufacturing,32,Manufacturing
325411,Medicinal and Botanical Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325412,Pharmaceutical Preparation Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325413,In-Vitro Diagnostic Substance Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325414,Biological Product (except Diagnostic) Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325510,Paint and Coating Manufacturing,325,Chemical Manufacturing,32,Manufacturing
325520,Adhesive Manufacturing,325,Chemical Manufacturing,32,Manufacturing
325611,Soap and Other Detergent Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325612,Polish and Other Sanitation Good Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325613,Surface Active Agent Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
325620,Toilet Preparation Manufacturing,325,Chemical Manufacturing,32,Manufacturing
325910,Printing Ink Manufacturing,325,Chemical Manufacturing,32,Manufacturing
325920,Explosives Manufacturing,325,Chemical Manufacturing,32,Manufacturing
325991,Custom Compounding of Purchased Resins ,325,Chemical Manufacturing,32,Manufacturing
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing ",325,Chemical Manufacturing,32,Manufacturing
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,325,Chemical Manufacturing,32,Manufacturing
326111,Plastics Bag and Pouch Manufacturing ,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326121,Unlaminated Plastics Profile Shape Manufacturing ,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326122,Plastics Pipe and Pipe Fitting Manufacturing ,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326140,Polystyrene Foam Product Manufacturing,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326160,Plastics Bottle Manufacturing,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326191,Plastics Plumbing Fixture Manufacturing ,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326199,All Other Plastics Product Manufacturing ,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326211,Tire Manufacturing (except Retreading) ,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326212,Tire Retreading ,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326220,Rubber and Plastics Hoses and Belting Manufacturing,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326291,Rubber Product Manufacturing for Mechanical Use ,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
326299,All Other Rubber Product Manufacturing ,326,Plastics and Rubber Products Manufacturing,32,Manufacturing
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327120,Clay Building Material and Refractories Manufacturing ,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327211,Flat Glass Manufacturing ,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327212,Other Pressed and Blown Glass and Glassware Manufacturing ,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327213,Glass Container Manufacturing ,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327215,Glass Product Manufacturing Made of Purchased Glass ,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327310,Cement Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
